x_p_j_mm	y_mm	pdin_volt	pdin_Pa	V_m/s	rho_kg/m^3	vrot_hz	
350.0	-40.0	2.515	2.702	2.148	1.172	32.7	
350.0	-42.0	2.516	2.413	2.030	1.172	32.7	
350.0	-44.0	2.519	0.676	1.074	1.172	32.7	
350.0	-46.0	2.522	-0.676	1.074	1.172	32.7	
350.0	-48.0	2.522	-0.772	1.148	1.172	32.7	
350.0	-50.0	2.524	-1.544	1.624	1.172	32.7	
350.0	-52.0	2.525	-2.413	2.030	1.172	32.7	
350.0	-54.0	2.526	-2.992	2.260	1.172	32.7	
350.0	-56.0	2.527	-3.282	2.367	1.172	32.7	
350.0	-58.0	2.527	-3.282	2.367	1.172	32.7	
350.0	-60.0	2.527	-3.088	2.296	1.172	32.7	
350.0	-62.0	2.528	-3.668	2.502	1.172	32.7	
350.0	-64.0	2.527	-3.378	2.401	1.172	32.7	
350.0	-66.0	2.528	-3.957	2.599	1.172	32.7	
350.0	-68.0	2.528	-3.957	2.599	1.172	32.7	
350.0	-70.0	2.529	-4.054	2.631	1.172	32.7	
350.0	-72.0	2.529	-4.343	2.723	1.172	32.7	
350.0	-74.0	2.529	-4.440	2.753	1.172	32.7	
350.0	-76.0	2.529	-4.247	2.693	1.172	32.7	
350.0	-78.0	2.529	-4.247	2.693	1.172	32.7	
350.0	-80.0	2.529	-4.150	2.662	1.172	32.7	
350.0	-82.0	2.528	-3.957	2.599	1.172	32.7	
350.0	-84.0	2.528	-3.861	2.567	1.172	32.7	
